"years","phase","strength","year.start","year.end"
"1951-52","nino","weak",1951,1952
"1952-53","nino","weak",1952,1953
"1953-54","nino","weak",1953,1954
"1958-59","nino","weak",1958,1959
"1968-69","nino","weak",1968,1969
"1969-70","nino","weak",1969,1970
"1976-77","nino","weak",1976,1977
"1977-78","nino","weak",1977,1978
"1979-80","nino","weak",1979,1980
"1994-95","nino","weak",1994,1995
"2004-05","nino","weak",2004,2005
"2006-07","nino","weak",2006,2007
"1963-64","nino","mod",1963,1964
"1986-87","nino","mod",1986,1987
"1987-88","nino","mod",1987,1988
"1991-92","nino","mod",1991,1992
"2002-03","nino","mod",2002,2003
"2009-10","nino","mod",2009,2010
"1957-58","nino","strong",1957,1958
"1965-66","nino","strong",1965,1966
"1972-73","nino","strong",1972,1973
"1982-83","nino","very.strong",1982,1983
"1997-98","nino","very.strong",1997,1998
"2015-16","nino","very.strong",2015,2016
"1950-51","nina","weak",1950,1951
"1954-55","nina","weak",1954,1955
"1964-65","nina","weak",1964,1965
"1967-68","nina","weak",1967,1968
"1971-72","nina","weak",1971,1972
"1974-75","nina","weak",1974,1975
"1983-84","nina","weak",1983,1984
"1984-85","nina","weak",1984,1985
"1995-96","nina","weak",1995,1996
"2000-01","nina","weak",2000,2001
"2011-12","nina","weak",2011,2012
"2016-17","nina","weak",2016,2017
"1955-56","nina","mod",1955,1956
"1970-71","nina","mod",1970,1971
"1998-99","nina","mod",1998,1999
"1999-00","nina","mod",1999,2000
"2007-08","nina","mod",2007,2008
"2010-11","nina","mod",2010,2011
"1973-74","nina","strong",1973,1974
"1975-76","nina","strong",1975,1976
"1988-89","nina","strong",1988,1989
